=====================================================================
AstNode type                 | data      | type      | subtreestring
=====================================================================
com.project.compiler.Ast.ProgNode |           |           |              
  com.project.compiler.Ast.ClassListNo |           |           |              
    com.project.compiler.Ast.Class |           |           |              
      com.project.compiler.Ast. | class1    |           | class1       
      com.project.compiler.Ast.Inh |           |           |              
      com.project.compiler.Ast.VarDeclLi |           |           |              
        com.project.compiler.Ast.Var |           |           |              
          com.project.compiler.As | float     |           |              
          com.project.compiler. | float1    | float     |              
          com.project.compiler.Ast.D |           |           |              
        com.project.compiler.Ast.Var |           |           |              
          com.project.compiler.As | int       |           |              
          com.project.compiler. | int1      | int       |              
          com.project.compiler.Ast.D |           |           |              
      com.project.compiler.Ast.FuncDeclLi |           |           |              
    com.project.compiler.Ast.Class |           |           |              
      com.project.compiler.Ast. | class2    |           | class2       
      com.project.compiler.Ast.Inh |           |           |              
      com.project.compiler.Ast.VarDeclLi |           |           |              
        com.project.compiler.Ast.Var |           |           |              
          com.project.compiler.As | int       |           |              
          com.project.compiler. | in532     | int       |              
          com.project.compiler.Ast.D |           |           |              
            com.project.compiler | 5         |           |              
            com.project.compiler | 3         |           |              
            com.project.compiler | 2         |           |              
        com.project.compiler.Ast.Var |           |           |              
          com.project.compiler.As | float     |           |              
          com.project.compiler. | float10   | float     |              
          com.project.compiler.Ast.D |           |           |              
            com.project.compiler | 10        |           |              
        com.project.compiler.Ast.Var |           |           |              
          com.project.compiler.As | float     |           |              
          com.project.compiler. | float100  | float     |              
          com.project.compiler.Ast.D |           |           |              
            com.project.compiler | 100       |           |              
        com.project.compiler.Ast.Var |           |           |              
          com.project.compiler.As | float     |           |              
          com.project.compiler. | float1    | float     |              
          com.project.compiler.Ast.D |           |           |              
        com.project.compiler.Ast.Var |           |           |              
          com.project.compiler.As | int       |           |              
          com.project.compiler. | int1      | int       |              
          com.project.compiler.Ast.D |           |           |              
      com.project.compiler.Ast.FuncDeclLi |           |           |              
  com.project.compiler.Ast.FuncDefListNo |           |           |              
    com.project.compiler.Ast.FuncDef |           |           |              
      com.project.compiler.Ast.FuncHe |           |           |              
        com.project.compiler.Ast. | int       |           |              
        com.project.compiler.As | func1     |           |              
        com.project.compiler.As |           |           |              
        com.project.compiler.Ast.Param |           |           |              
          com.project.compiler.Ast.V |           |           |              
            com.project.compiler. | int       |           |              
            com.project.compile | int532    |           |              
            com.project.compiler.Ast |           |           |              
              com.project.compil | 5         |           |              
              com.project.compil | 3         |           |              
              com.project.compil | 2         |           |              
          com.project.compiler.Ast.V |           |           |              
            com.project.compiler. | float     |           |              
            com.project.compile | float100  |           |              
